time=2020-03-03T00:10:08.461Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=contextBroker.cpp[972]:main | msg=Orion Context Broker is running
time=2020-03-03T00:10:08.537Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=mongoConnectionPool.cpp[201]:mongoConnect | msg=Successful connection to database
time=2020-03-03T00:10:08.537Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=connectionOperations.cpp[765]:setWriteConcern | msg=Database Operation Successful (setWriteConcern: 1)
time=2020-03-03T00:10:08.537Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=connectionOperations.cpp[812]:getWriteConcern | msg=Database Operation Successful (getWriteConcern)
time=2020-03-03T00:10:08.537Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=connectionOperations.cpp[706]:runCollectionCommand | msg=Database Operation Successful (command: { buildinfo: 1 })
time=2020-03-03T00:10:08.538Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=MongoGlobal.cpp[247]:mongoInit | msg=Connected to mongo at localhost:27017:ftest
time=2020-03-03T00:10:08.611Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=connectionOperations.cpp[602]:collectionCreateIndex | msg=Database Operation Successful (createIndex: { location.coords: "2dsphere" })
time=2020-03-03T00:10:08.634Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=connectionOperations.cpp[602]:collectionCreateIndex | msg=Database Operation Successful (createIndex: { expDate: 1 })
time=2020-03-03T00:10:08.636Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=connectionOperations.cpp[94]:collectionQuery | msg=Database Operation Successful (query: {})
time=2020-03-03T00:10:08.639Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=contextBroker.cpp[1098]:main | msg=Startup completed
time=2020-03-03T00:10:09.571Z | lvl=INFO | corr=58395056-5ce3-11ea-8742-dca63270ddf5 | trans=1583194208-529-00000000001 | from=127.0.0.1 | srv=<none> | subsrv=<none> | comp=Orion | op=logMsg.h[1844]:lmTransactionStart | msg=Starting transaction from 127.0.0.1:49732/v2/noService
time=2020-03-03T00:10:09.571Z | lvl=WARN | corr=58395056-5ce3-11ea-8742-dca63270ddf5 | trans=1583194208-529-00000000001 | from=127.0.0.1 | srv=<none> | subsrv=<none> | comp=Orion | op=AlarmManager.cpp[405]:badInput | msg=Raising alarm BadInput 127.0.0.1: service '/v2/noService' not found
time=2020-03-03T00:10:09.572Z | lvl=INFO | corr=58395056-5ce3-11ea-8742-dca63270ddf5 | trans=1583194208-529-00000000001 | from=127.0.0.1 | srv=<none> | subsrv=<none> | comp=Orion | op=logMsg.h[1874]:lmTransactionEnd | msg=Transaction ended
time=2020-03-03T00:10:10.152Z | lvl=INFO | corr=5891f76a-5ce3-11ea-8742-dca63270ddf5 | trans=1583194208-529-00000000002 | from=127.0.0.1 | srv=<none> | subsrv=<none> | comp=Orion | op=logMsg.h[1844]:lmTransactionStart | msg=Starting transaction from 127.0.0.1:49734/v2/entities
time=2020-03-03T00:10:10.152Z | lvl=WARN | corr=5891f76a-5ce3-11ea-8742-dca63270ddf5 | trans=1583194208-529-00000000002 | from=127.0.0.1 | srv=<none> | subsrv=<none> | comp=Orion | op=AlarmManager.cpp[393]:badInput | msg=Repeated BadInput 127.0.0.1: JSON parse error
time=2020-03-03T00:10:10.152Z | lvl=INFO | corr=5891f76a-5ce3-11ea-8742-dca63270ddf5 | trans=1583194208-529-00000000002 | from=127.0.0.1 | srv=<none> | subsrv=<none> | comp=Orion | op=logMsg.h[1874]:lmTransactionEnd | msg=Transaction ended
time=2020-03-03T00:10:10.697Z | lvl=INFO | corr=58e537c2-5ce3-11ea-8742-dca63270ddf5 | trans=1583194208-529-00000000003 | from=127.0.0.1 | srv=<none> | subsrv=<none> | comp=Orion | op=logMsg.h[1844]:lmTransactionStart | msg=Starting transaction from 127.0.0.1:49736/v2/entities
time=2020-03-03T00:10:10.697Z | lvl=WARN | corr=58e537c2-5ce3-11ea-8742-dca63270ddf5 | trans=1583194208-529-00000000003 | from=127.0.0.1 | srv=<none> | subsrv=<none> | comp=Orion | op=AlarmManager.cpp[393]:badInput | msg=Repeated BadInput 127.0.0.1: bad verb for url '/v2/entities', method 'GETT'
time=2020-03-03T00:10:10.698Z | lvl=INFO | corr=58e537c2-5ce3-11ea-8742-dca63270ddf5 | trans=1583194208-529-00000000003 | from=127.0.0.1 | srv=<none> | subsrv=<none> | comp=Orion | op=logMsg.h[1874]:lmTransactionEnd | msg=Transaction ended
time=2020-03-03T00:10:11.252Z | lvl=INFO | corr=5939d7d2-5ce3-11ea-8742-dca63270ddf5 | trans=1583194208-529-00000000004 | from=127.0.0.1 | srv=<none> | subsrv=<none> | comp=Orion | op=logMsg.h[1844]:lmTransactionStart | msg=Starting transaction from 127.0.0.1:49738/v2/entities
time=2020-03-03T00:10:11.252Z | lvl=WARN | corr=5939d7d2-5ce3-11ea-8742-dca63270ddf5 | trans=1583194208-529-00000000004 | from=127.0.0.1 | srv=<none> | subsrv=<none> | comp=Orion | op=AlarmManager.cpp[393]:badInput | msg=Repeated BadInput 127.0.0.1: {"error":"ContentLengthRequired","description":"Zero/No Content-Length in PUT/POST/PATCH request"}
time=2020-03-03T00:10:11.252Z | lvl=INFO | corr=5939d7d2-5ce3-11ea-8742-dca63270ddf5 | trans=1583194208-529-00000000004 | from=127.0.0.1 | srv=<none> | subsrv=<none> | comp=Orion | op=logMsg.h[1874]:lmTransactionEnd | msg=Transaction ended
time=2020-03-03T00:10:11.635Z | lvl=SUMMARY | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=logSummary.cpp[125]:logSummary | msg=Transactions: 4 (new: 4)
time=2020-03-03T00:10:11.635Z | lvl=SUMMARY | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=logSummary.cpp[132]:logSummary | msg=DB status: ok, raised: (total: 0, new: 0), released: (total: 0, new: 0)
time=2020-03-03T00:10:11.635Z | lvl=SUMMARY | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=logSummary.cpp[139]:logSummary | msg=Notification failure active alarms: 0, raised: (total: 0, new: 0), released: (total: 0, new: 0)
time=2020-03-03T00:10:11.635Z | lvl=SUMMARY | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=logSummary.cpp[146]:logSummary | msg=Bad input active alarms: 1, raised: (total: 1, new: 1), released: (total: 0, new: 0)
time=2020-03-03T00:10:14.635Z | lvl=SUMMARY | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=logSummary.cpp[125]:logSummary | msg=Transactions: 4 (new: 0)
time=2020-03-03T00:10:14.635Z | lvl=SUMMARY | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=logSummary.cpp[132]:logSummary | msg=DB status: ok, raised: (total: 0, new: 0), released: (total: 0, new: 0)
time=2020-03-03T00:10:14.636Z | lvl=SUMMARY | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=logSummary.cpp[139]:logSummary | msg=Notification failure active alarms: 0, raised: (total: 0, new: 0), released: (total: 0, new: 0)
time=2020-03-03T00:10:14.636Z | lvl=SUMMARY | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=logSummary.cpp[146]:logSummary | msg=Bad input active alarms: 1, raised: (total: 1, new: 0), released: (total: 0, new: 0)
time=2020-03-03T00:10:14.979Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=contextBroker.cpp[495]:sigHandler | msg=Signal Handler (caught signal 15)
time=2020-03-03T00:10:14.979Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=contextBroker.cpp[502]:sigHandler | msg=Orion context broker exiting due to receiving a signal
