time=2021-03-19T14:29:26.381Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=contextBroker.cpp[1012]:main | msg=start command line <contextBroker -harakiri -port 9999 -pidpath /tmp/orion_9999.pid -dbhost localhost:27017 -db ftest -dbPoolSize 10 -t 0 -ipv4 -logLevel DEBUG -insecureNotif -notificationMode threadpool:200:20>
time=2021-03-19T14:29:26.425Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=contextBroker.cpp[1080]:main | msg=Orion Context Broker is running
time=2021-03-19T14:29:27.837Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=mongoConnectionPool.cpp[499]:mongoConnectionPoolInit | msg=Connected to mongodb://localhost:27017/?connectTimeoutMS=10000 (dbName: ftest, poolsize: 10)
time=2021-03-19T14:29:31.847Z | lvl=WARN | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=contextBroker.cpp[630]:contextBrokerInit | msg=contextBroker started in insecure notifications mode (-insecureNotif)
time=2021-03-19T14:29:32.060Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=contextBroker.cpp[1206]:main | msg=Startup completed
time=2021-03-19T14:29:34.524Z | lvl=INFO | corr=8659c5ca-88bf-11eb-96f8-7fa385d9027f | trans=1616164166-462-00000000001 | from=127.0.0.1 | srv=<none> | subsrv=<none> | comp=Orion | op=logTracing.cpp[130]:logInfoRequestWithPayload | msg=Request received: POST /v2/subscriptions, request payload (158 bytes): { "subject": { "entities": [ { "idPattern": "E.*" } ], "condition": { "attrs": [ ] } }, "notification": { "http": {"url": "https://localhost:9997/notify"} } }, response code: 201
time=2021-03-19T14:29:35.127Z | lvl=INFO | corr=86c859cc-88bf-11eb-96f8-7fa385d9027f | trans=1616164166-462-00000000002 | from=127.0.0.1 | srv=<none> | subsrv=<none> | comp=Orion | op=logTracing.cpp[130]:logInfoRequestWithPayload | msg=Request received: POST /v2/entities, request payload (36 bytes): { "id": "E1", "A1": { "value": 1 } }, response code: 201
time=2021-03-19T14:29:40.677Z | lvl=WARN | corr=86c859cc-88bf-11eb-96f8-7fa385d9027f; cbnotif=1 | trans=1616164166-462-00000000003 | from=127.0.0.1 | srv=<none> | subsrv=<none> | comp=Orion | op=AlarmManager.cpp[328]:notificationError | msg=Raising alarm NotificationError localhost:9997/notify: notification failure for queue worker: Timeout was reached
time=2021-03-19T14:29:40.685Z | lvl=INFO | corr=86c859cc-88bf-11eb-96f8-7fa385d9027f; cbnotif=1 | trans=1616164166-462-00000000003 | from=127.0.0.1 | srv=<none> | subsrv=<none> | comp=Orion | op=logTracing.cpp[63]:logInfoNotification | msg=Notif delivered (subId: 6054b54e2db31601e16e231b): POST localhost:9997/notify, response code: Timeout was reached
time=2021-03-19T14:29:40.707Z | lvl=WARN | corr=8a65ae54-88bf-11eb-96f8-7fa385d9027f | trans=1616164166-462-00000000004 | from=127.0.0.1 | srv=<none> | subsrv=<none> | comp=Orion | op=AlarmManager.cpp[405]:badInput | msg=Raising alarm BadInput 127.0.0.1: service '/exit/harakiri' not found
time=2021-03-19T14:29:40.738Z | lvl=INFO | corr=8a65ae54-88bf-11eb-96f8-7fa385d9027f | trans=1616164166-462-00000000004 | from=127.0.0.1 | srv=<none> | subsrv=<none> | comp=Orion | op=logTracing.cpp[79]:logInfoRequestWithoutPayload | msg=Request received: GET /exit/harakiri, response code: 400
time=2021-03-19T14:29:52.888Z | lvl=WARN | corr=91a884a2-88bf-11eb-96f8-7fa385d9027f | trans=1616164166-462-00000000005 | from=127.0.0.1 | srv=<none> | subsrv=<none> | comp=Orion | op=AlarmManager.cpp[432]:badInputReset | msg=Releasing alarm BadInput 127.0.0.1
time=2021-03-19T14:29:52.943Z | lvl=INFO | corr=91a884a2-88bf-11eb-96f8-7fa385d9027f | trans=1616164166-462-00000000005 | from=127.0.0.1 | srv=<none> | subsrv=<none> | comp=Orion | op=logTracing.cpp[79]:logInfoRequestWithoutPayload | msg=Request received: GET /version, response code: 200
