time=2021-03-20T08:06:19.036Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=contextBroker.cpp[1012]:main | msg=start command line <contextBroker -harakiri -port 9999 -pidpath /tmp/orion_9999.pid -dbhost localhost:27017 -db ftest -dbPoolSize 10 -t 0 -ipv4 -logLevel DEBUG -insecureNotif -notificationMode threadpool:200:20>
time=2021-03-20T08:06:19.079Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=contextBroker.cpp[1080]:main | msg=Orion Context Broker is running
time=2021-03-20T08:06:20.158Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=mongoConnectionPool.cpp[499]:mongoConnectionPoolInit | msg=Connected to mongodb://localhost:27017/?connectTimeoutMS=10000 (dbName: ftest, poolsize: 10)
time=2021-03-20T08:06:22.608Z | lvl=WARN | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=contextBroker.cpp[630]:contextBrokerInit | msg=contextBroker started in insecure notifications mode (-insecureNotif)
time=2021-03-20T08:06:22.735Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=contextBroker.cpp[1206]:main | msg=Startup completed
time=2021-03-20T08:06:24.881Z | lvl=INFO | corr=29f0ddfc-8953-11eb-aa8f-07c345ae0242 | trans=1616227579-101-00000000001 | from=127.0.0.1 | srv=<none> | subsrv=<none> | comp=Orion | op=logTracing.cpp[130]:logInfoRequestWithPayload | msg=Request received: POST /v2/subscriptions, request payload (158 bytes): { "subject": { "entities": [ { "idPattern": "E.*" } ], "condition": { "attrs": [ ] } }, "notification": { "http": {"url": "https://localhost:9997/notify"} } }, response code: 201
time=2021-03-20T08:06:25.563Z | lvl=INFO | corr=2a3fb47c-8953-11eb-aa8f-07c345ae0242 | trans=1616227579-101-00000000002 | from=127.0.0.1 | srv=<none> | subsrv=<none> | comp=Orion | op=logTracing.cpp[130]:logInfoRequestWithPayload | msg=Request received: POST /v2/entities, request payload (36 bytes): { "id": "E1", "A1": { "value": 1 } }, response code: 201
time=2021-03-20T08:06:29.042Z | lvl=INFO | corr=2a3fb47c-8953-11eb-aa8f-07c345ae0242; cbnotif=1 | trans=1616227579-101-00000000003 | from=127.0.0.1 | srv=<none> | subsrv=<none> | comp=Orion | op=logTracing.cpp[63]:logInfoNotification | msg=Notif delivered (subId: 6055ad00f6eabd246c05c4ab): POST localhost:9997/notify, response code: 200
time=2021-03-20T08:06:29.065Z | lvl=WARN | corr=2cb933a4-8953-11eb-aa8f-07c345ae0242 | trans=1616227579-101-00000000004 | from=127.0.0.1 | srv=<none> | subsrv=<none> | comp=Orion | op=AlarmManager.cpp[405]:badInput | msg=Raising alarm BadInput 127.0.0.1: service '/exit/harakiri' not found
time=2021-03-20T08:06:29.087Z | lvl=INFO | corr=2cb933a4-8953-11eb-aa8f-07c345ae0242 | trans=1616227579-101-00000000004 | from=127.0.0.1 | srv=<none> | subsrv=<none> | comp=Orion | op=logTracing.cpp[79]:logInfoRequestWithoutPayload | msg=Request received: GET /exit/harakiri, response code: 400
time=2021-03-20T08:06:40.109Z | lvl=WARN | corr=334ef1ae-8953-11eb-aa8f-07c345ae0242 | trans=1616227579-101-00000000005 | from=127.0.0.1 | srv=<none> | subsrv=<none> | comp=Orion | op=AlarmManager.cpp[432]:badInputReset | msg=Releasing alarm BadInput 127.0.0.1
time=2021-03-20T08:06:40.148Z | lvl=INFO | corr=334ef1ae-8953-11eb-aa8f-07c345ae0242 | trans=1616227579-101-00000000005 | from=127.0.0.1 | srv=<none> | subsrv=<none> | comp=Orion | op=logTracing.cpp[79]:logInfoRequestWithoutPayload | msg=Request received: GET /version, response code: 200
